ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
AUS,2018,90.0,,0.10051631,89,0.625,0.785,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AUS,2020,92.0,,0.10660401,89,0.7,0.784,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AUS,2021,88.0,71.1,0.10425253,89,0.7,0.788,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AUS,2023,,,,89,,,2.0,,,4,1,1,0,0,2,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
AUT,2014,91.0,,0.10368092,83,,0.71,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AUT,2019,67.0,57.4,0.10487536,82,,0.705,1.0,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
AZE,2012,,,0.03156821,62,,0.507,,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BDI,2015,56.0,,0.06290226,49,0.625,0.201,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BDI,2016,62.0,,0.07061482,47,0.625,0.196,,2.0,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BDI,2021,38.0,22.1,0.08994843,45,0.775,0.198,2.0,2.0,1.0,1,1,1,0,0,2,0.0,1.0,80,,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,missing
BEL,2012,82.0,,0.10502501,85,,0.722,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BEN,2014,44.0,,0.0269112,30,,0.315,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BEN,2016,28.0,,0.02795496,26,0.1,0.303,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BEN,2017,30.0,,0.02668138,33,0.175,0.31,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BEN,2021,39.0,25.4,0.02581295,37,,0.327,2.0,2.0,,1,1,0,1,0,3,0.0,1.0,40,,observed,observed,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BEN,2022,,,0.02679814,35,,0.329,2.0,2.0,,1,1,1,0,0,2,0.0,1.0,40,,missing,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
BFA,2010,,,0.05239583,32,,0.325,,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BFA,2015,,,0.05131924,39,0.25,0.318,,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BFA,2018,29.0,,0.04999539,39,0.525,0.333,,,,1,1,1,1,0,3,0.0,1.0,60,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BFA,2019,44.0,34.4,0.05368027,40,0.525,0.332,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BFA,2022,,,0.0677182,48,,0.344,2.0,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BGD,2019,67.0,35.4,0.02257622,50,0.925,0.508,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
BGD,2021,68.0,35.5,0.02365513,52,0.0,0.524,2.0,,,1,2,2,2,0,3,0.0,1.0,60,,observed,observed,observed,observed,observed,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
