ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag
COG,2019,33.0,23.9,0.02347713,43,,0.335,,2.0,,1,1,1,0,0,2,0.0,1.0,40,,observed,observed,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
COG,2020,37.0,,0.04017751,44,,0.339,,2.0,,1,1,0,1,0,3,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
COG,2022,,,0.02192245,46,,0.335,,2.0,,1,1,1,0,0,2,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
COK,2011,,,0.03653758,75,,,,,,4,1,1,1,0,3,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COK,2017,43.0,,0.02452187,72,,,,,,4,1,0,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COL,2016,89.0,,0.0753117,81,0.65,0.596,,,,1,2,1,0,1,2,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COL,2017,88.0,,0.07678643,82,0.65,0.595,,,,1,1,0,0,1,1,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COL,2019,69.0,50.0,0.07779549,81,1.0,0.598,,,,1,1,0,0,1,1,0.0,1.0,40,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COL,2020,75.0,,0.08714321,82,1.0,0.594,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COM,2015,,,0.04600899,48,,0.149,,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
COM,2023,,,,52,,,2.0,,,1,1,1,0,0,2,0.0,1.0,100,100.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
CPV,2010,,,0.04081082,60,,0.261,,,,1,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CPV,2014,,,0.04852315,63,,0.255,,,,1,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CPV,2017,65.0,,0.04745732,67,,0.25,2.0,,,1,1,0,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CPV,2023,,,,71,,,2.0,,,1,1,1,0,0,2,0.0,1.0,80,80.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
CRI,2013,89.0,,0.07682293,83,,0.502,,,,3,1,1,1,0,3,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2010,,,0.10688083,81,,0.524,,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2011,92.0,,0.11312986,82,,0.525,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2012,99.0,,0.0929941,83,,0.526,,,,1,2,2,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2013,99.0,,0.10430995,83,,0.525,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2014,96.0,,0.12141219,84,,0.529,,,,1,1,0,1,0,3,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2015,99.0,,0.12814043,84,,0.527,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2016,99.0,,0.12217696,85,,0.526,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2017,99.0,,0.11472015,85,,0.525,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2018,100.0,,0.11018425,85,,0.528,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2019,78.0,32.3,0.11085011,84,,0.534,,,,1,1,1,0,0,2,0.0,1.0,60,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2020,,,0.1248642,85,,0.528,,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2021,95.0,30.5,0.13787279,86,,0.526,1.0,,,1,1,1,0,0,2,0.0,1.0,60,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2022,,,0.11786832,86,,0.525,1.0,,,1,1,1,0,0,2,0.0,1.0,60,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CUB,2023,,,,86,,,1.0,,,1,1,1,0,0,2,0.0,1.0,60,60.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
CYP,2011,51.0,,0.06431391,72,,0.526,,,,4,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
CZE,2022,,,0.08799047,83,,0.654,,,2.0,1,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed,missing
DEU,2010,,,0.11095929,84,,0.847,,,,3,1,1,1,0,3,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DEU,2018,91.0,,0.11473146,86,0.575,0.837,,,,3,2,1,0,1,2,0.0,1.0,40,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DEU,2020,89.0,,0.12690226,86,,0.838,,,,3,1,0,0,1,1,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DEU,2021,87.0,65.5,0.12901712,86,,0.84,,,,3,1,0,0,1,1,0.0,1.0,40,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DEU,2022,,,0.12605131,87,,0.84,,,,3,1,0,0,1,1,0.0,1.0,40,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2012,39.0,,0.0329731,41,,0.246,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2017,33.0,,0.02468575,47,,0.271,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2018,37.0,,0.02518715,49,,0.272,,,,4,2,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2019,32.0,23.9,0.02406412,50,,0.277,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2020,31.0,,0.02322284,49,,0.278,2.0,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2021,41.0,25.2,0.02886695,47,,0.28,2.0,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2022,,,0.0249675,48,,0.28,2.0,,,4,1,0,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DJI,2023,,,,47,,,2.0,,,4,1,1,0,0,2,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
DNK,2012,,,0.10521972,81,,0.709,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DNK,2018,96.0,,0.10097642,84,,0.696,,,,4,1,1,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DNK,2021,95.0,64.4,0.10747286,85,,0.703,,,,4,2,2,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DOM,2015,72.0,,0.04722168,75,,0.479,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DOM,2017,55.0,,0.0449337,73,,0.489,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DOM,2018,48.0,,0.04126016,72,,0.494,,,,1,1,0,1,0,3,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DOM,2022,,,0.04572548,78,,0.497,,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DZA,2016,73.0,,0.06000797,72,,0.552,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
DZA,2021,77.0,26.2,0.05011057,69,0.65,0.533,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ECU,2010,,,0.06349257,71,,0.505,,,,1,2,2,1,0,3,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ECU,2018,73.0,,0.0783214,79,,0.522,,,,1,1,1,1,0,3,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ECU,2023,,,,78,,,2.0,,,1,1,0,1,0,3,0.0,1.0,80,80.0,missing,missing,missing,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
EGY,2010,,,0.04153192,74,,0.574,,,,1,1,1,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EGY,2011,83.0,,0.04357076,74,,0.575,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EGY,2013,88.0,,0.04671004,74,,0.573,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ERI,2011,45.0,,0.0516229,39,,0.224,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ERI,2014,70.0,,0.03914323,39,,0.224,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ERI,2020,57.0,,0.04310467,41,,0.241,,2.0,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
ESP,2010,,,0.09118913,78,,0.782,,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EST,2010,,,0.06594338,74,,0.512,,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EST,2015,73.0,,0.0664135,77,0.925,0.505,,,,1,1,1,1,0,3,0.0,1.0,100,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EST,2016,71.0,,0.0670241,77,0.925,0.503,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
EST,2021,74.0,55.5,0.07478603,79,,0.531,2.0,,,1,1,0,1,0,3,0.0,1.0,100,,observed,observed,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ETH,2011,70.0,,0.04468977,24,,0.379,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ETH,2016,79.0,,0.03600338,30,,0.427,,,,1,1,1,1,0,3,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ETH,2020,67.0,,0.03480963,30,,0.446,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
ETH,2022,,,0.02852746,31,,0.449,2.0,,,1,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,observed,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FIN,2016,,,0.0937796,86,0.75,0.67,,,,1,1,1,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FIN,2018,94.0,,0.09045142,86,0.75,0.67,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2013,95.0,,0.03200407,71,,0.32,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2014,98.0,,0.03368605,71,,0.327,,,,1,1,0,1,0,3,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2016,,,0.03279797,70,0.0,0.325,,,,1,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2017,,,0.03186896,70,0.0,0.33,,,,1,1,1,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2018,63.0,,0.04105726,69,0.0,0.336,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2020,,,0.05289874,69,0.975,0.32,,,,1,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FJI,2021,54.0,25.8,0.07060847,69,0.975,0.319,,,,1,1,1,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2010,,,0.11225602,79,,0.836,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2011,78.0,,0.11184976,81,,0.835,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2012,81.0,,0.112974,81,,0.829,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2013,85.0,,0.11395911,82,,0.829,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2014,86.0,,0.11525314,82,,0.826,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2015,89.0,,0.11439855,82,0.6,0.819,,,,4,2,2,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2016,89.0,,0.1149049,82,0.625,0.816,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2017,89.0,,0.11370638,82,0.65,0.814,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2018,82.0,,0.11210338,81,0.65,0.816,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2019,82.0,62.6,0.11099384,81,0.65,0.816,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2020,83.0,,0.12072268,82,0.65,0.815,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2021,86.0,61.9,0.12292294,82,0.65,0.819,,,,4,2,2,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2022,,,0.11881905,82,0.65,0.819,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FRA,2023,,,,82,,,,,2.0,4,1,1,0,0,2,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed,observed
FSM,2011,36.0,,0.13314363,57,,0.152,,,,1,1,1,0,0,2,0.0,1.0,80,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
FSM,2022,,,0.10344703,65,,0.153,,,,1,1,1,0,0,2,0.0,1.0,80,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GAB,2018,40.0,,0.02752351,51,,0.375,,,,1,2,2,0,0,2,0.0,1.0,60,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GAB,2023,,,,48,,,,,,1,1,1,1,0,3,0.0,1.0,60,60.0,missing,missing,missing,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,observed
GBR,2010,,,0.09789379,84,,0.82,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2011,,,0.09795615,84,,0.819,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2012,,,0.09891601,85,,0.817,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2013,,,0.09978225,85,,0.817,,,,4,1,1,1,0,3,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2014,,,0.0990306,86,,0.821,,,,4,2,2,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2015,,,0.09836252,86,1.0,0.82,,,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2016,88.0,,0.0976547,86,,0.816,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2017,89.0,,0.09600168,87,,0.81,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2018,93.0,,0.09738376,87,1.0,0.811,,,,4,1,1,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2019,93.0,68.3,0.09953881,87,1.0,0.812,,2.0,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2020,95.0,,0.11965477,88,1.0,0.811,,2.0,,4,2,2,0,0,2,0.0,1.0,20,,observed,missing,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2021,93.0,67.2,0.12019034,88,1.0,0.817,,2.0,,4,1,1,0,0,2,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2022,,,0.11050878,88,,0.817,,2.0,,4,1,1,0,0,2,0.0,1.0,20,,missing,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GBR,2023,,,,88,,,,2.0,,4,1,1,0,0,2,0.0,1.0,20,20.0,missing,missing,missing,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed
GEO,2017,74.0,,0.06959362,70,0.975,0.411,,2.0,1.0,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed,observed,missing
GEO,2022,,,0.07255696,71,0.975,0.411,,2.0,1.0,1,1,1,1,0,3,0.0,1.0,100,,missing,missing,observed,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,observed,observed,missing
GHA,2011,39.0,,0.04468556,39,,0.433,,,,4,1,0,0,1,1,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GHA,2014,69.0,,0.04016441,46,,0.432,,,,4,1,0,0,1,1,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GHA,2015,,,0.04542968,49,,0.427,,,,4,1,1,0,0,2,0.0,1.0,100,,missing,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GHA,2020,49.0,,0.04433171,51,0.825,0.431,,2.0,,4,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,observed,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GIN,2011,13.0,,0.03789551,26,,0.238,,,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GIN,2014,52.0,,0.04787992,37,,0.243,,2.0,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,missing,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GIN,2017,60.0,,0.03915127,37,,0.297,2.0,2.0,,1,1,1,0,0,2,0.0,1.0,100,,observed,missing,observed,observed,missing,observed,observed,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.407,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.407,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.407,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.407,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.193,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.193,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.193,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2011,53.0,,0.04369674,52,,0.193,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.411,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.411,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.411,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.411,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.171,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.171,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.171,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
GMB,2014,33.0,,0.03052346,52,,0.171,,,,1,1,1,0,0,2,0.0,1.0,40,,observed,missing,observed,observed,missing,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing
