ISO,year,e_spar,ghs_index,disaster_risk,hexp_gdp,uhc_index,wpi_val,health_policy,national_plan,national_strategy,recognition,participation_event_it,decision_event_it,leadership_event_it,admin_event_it,role_type_it,Exclusion,NoExclusion,efforts_A,efforts_B,e_spar_flag,ghs_index_flag,disaster_risk_flag,hexp_gdp_flag,uhc_index_flag,health_policy_flag,national_plan_flag,national_strategy_flag,recognition_flag,participation_event_it_flag,decision_event_it_flag,leadership_event_it_flag,admin_event_it_flag,role_type_it_flag,efforts_A_flag,efforts_B_flag,disaster_risk_oriented,e_spar_mm_global,ghs_index_mm_global,hexp_gdp_mm_global,efforts_A_mm_global,efforts_B_mm_global,uhc_index_mm_global,health_policy_mm_global,national_plan_mm_global,national_strategy_mm_global,recognition_mm_global,participation_event_it_mm_global,decision_event_it_mm_global,leadership_event_it_mm_global,admin_event_it_mm_global,role_type_it_mm_global,disaster_risk_oriented_mm_global,NoExclusion_mm_global,e_spar_mm_year,ghs_index_mm_year,hexp_gdp_mm_year,efforts_A_mm_year,efforts_B_mm_year,uhc_index_mm_year,health_policy_mm_year,national_plan_mm_year,national_strategy_mm_year,recognition_mm_year,participation_event_it_mm_year,decision_event_it_mm_year,leadership_event_it_mm_year,admin_event_it_mm_year,role_type_it_mm_year,disaster_risk_oriented_mm_year
AGO,2022,63.0,25.2,0.02927376,45,,0.423,2.0,,,1,1,1,0,0,2,0.0,1.0,80,,imputed,imputed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.97072624,0.5747126436781609,0.1528239202657807,0.32857142857142857,0.75,,,1.0,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9333242551334481,1.0,0.4393939393939394,0.15358931552587643,0.24193548387096775,0.75,,,1.0,,,0.0,0.0,0.5,0.0,0.0,0.5,0.9486062362734067
ALB,2011,,,0.06182977,59,,0.388,,,,1,1,1,0,0,2,0.0,1.0,20,,imputed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.93817023,,,0.5285714285714286,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.7697960554434565,1.0,,,0.5737704918032787,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.5,0.6848005374398033
ALB,2013,,,0.06282863,61,,0.392,,,,1,1,1,0,0,2,0.0,1.0,20,,imputed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.93717137,,,0.5571428571428572,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.7647788012546799,1.0,,,0.4897959183673469,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.71507298077531
AND,2013,20.0,34.7,0.06799642,69,,,,,,1,1,1,0,0,2,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.9320035799999999,0.08045977011494253,0.31063122923588044,0.6714285714285714,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.7388210934435586,1.0,0.047619047619047616,0.18627450980392163,0.6530612244897959,0.0,,,,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6769897841800625
AND,2021,20.0,34.7,0.08334507,74,,,2.0,,,1,1,1,0,0,2,0.0,1.0,20,,imputed,observed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.91665493,0.08045977011494253,0.31063122923588044,0.7428571428571429,0.0,,,1.0,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6617251255355815,1.0,0.0,0.31218697829716197,0.7142857142857143,0.0,,,1.0,,,0.0,0.0,0.5,0.0,0.0,0.5,0.6881883605388259
ARE,2013,88.0,40.1,0.03502222,79,0.275,0.685,,,,4,1,0,0,1,1,0.0,1.0,20,,observed,imputed,observed,observed,imputed,missing,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.96497778,0.8620689655172413,0.4003322259136213,0.8142857142857143,0.0,,0.275,,,,0.5,0.0,0.0,0.0,1.0,0.0,0.9044498533013463,1.0,0.8571428571428571,0.29215686274509806,0.8571428571428571,0.0,,0.275,,,,0.5,0.0,0.0,0.0,1.0,0.0,0.9199878435383203
ARE,2019,96.0,40.1,0.04402913,84,0.275,0.703,,,1.0,4,2,1,1,0,3,0.0,1.0,20,,observed,observed,observed,observed,observed,missing,missing,carried_forward,observed,observed,observed,observed,observed,observed,observed,missing,0.95597087,0.9540229885057471,0.4003322259136213,0.8857142857142857,0.0,,0.275,,,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.8592083210291244,1.0,0.9558823529411765,0.3807890222984563,0.9333333333333333,0.0,,0.275,,,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.8471169728425617
ARG,2013,75.0,56.1,0.09780979,80,0.0,0.669,2.0,,,3,2,1,0,1,2,0.0,1.0,80,,observed,imputed,observed,observed,imputed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.90219021,0.7126436781609196,0.6661129568106312,0.8285714285714286,0.75,,0.0,1.0,,,0.3333333333333333,0.5,0.5,0.0,1.0,0.5,0.5890691206805696,1.0,0.7023809523809523,0.6058823529411765,0.8775510204081632,0.75,,0.0,0.0,,,0.3333333333333333,1.0,0.5,0.0,1.0,0.5,0.4572849527382178
ARG,2016,76.0,56.1,0.09855589,81,0.0,0.671,2.0,,,3,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,observed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.90144411,0.7241379310344828,0.6661129568106312,0.8428571428571429,0.75,,0.0,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.5853214750142641,1.0,0.6666666666666666,0.6552315608919382,0.8787878787878788,0.75,,0.0,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.47779327429653423
ARG,2018,64.0,56.1,0.10291469,79,0.75,0.662,2.0,,,3,1,1,0,0,2,0.0,1.0,80,,observed,imputed,observed,observed,observed,carried_forward,missing,missing,observed,observed,observed,observed,observed,observed,observed,missing,0.89708531,0.5862068965517241,0.6661129568106312,0.8142857142857143,0.75,,0.75,1.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.5634273081059502,1.0,0.5135135135135135,0.615678776290631,0.8245614035087719,0.75,,0.75,0.0,,,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.4486076565729285
