ISO,year,GHEI_raw,GHEI_arith
GBR,2022,0.5349810828139154,0.6130135389594618
GBR,2023,0.5349810828139154,0.6130135389594618
GEO,2017,0.44618317967902876,0.5205902318354636
GEO,2022,0.5305807785367505,0.570552789059678
GHA,2011,,
GHA,2014,,
GHA,2015,,
GHA,2020,0.46820713237545863,0.5345091622314138
GIN,2011,,
GIN,2014,0.41856619252040395,0.45824826490662707
GIN,2017,0.47375101810112136,0.526557090466245
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2011,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GMB,2014,,
GNB,2020,0.371298324833033,0.42081062849904266
GRC,2014,,
GRC,2017,,
GRD,2016,0.6085356402064013,0.6690895389065682
GRD,2019,0.5113397349088407,0.6184353306478598
GTM,2010,,
GTM,2014,,
GTM,2021,0.471804529603932,0.49245886501591896
GUY,2014,0.4048275593041834,0.4343845536488316
GUY,2019,0.5502989921272893,0.5514579648012585
HND,2013,,
HND,2019,0.3955368849679187,0.4359635838402367
HRV,2011,,
HRV,2012,0.44865602778369323,0.5061087647844585
HRV,2020,0.43723741385182663,0.48407843136691614
HTI,2013,,
HTI,2021,0.3908960318928032,0.4281210756701869
HUN,2011,,
IDN,2012,,
IDN,2015,0.44952503443234676,0.5205089311282256
IDN,2017,0.5438675341910657,0.5827641913576466
IDN,2018,0.3994534754186532,0.4294307973357404
IDN,2022,0.4803156044261043,0.5011068341301385
IND,2011,,
IND,2013,,
IND,2015,,
IND,2018,0.5839503212738887,0.5977962405942406
IND,2020,0.5053751156743038,0.568013919509587
IND,2022,0.6027827165341558,0.6199113197641932
IND,2023,0.507580353446902,0.5708041769070504
IRL,2013,,
IRN,2011,,
IRN,2012,,
IRN,2014,,
IRN,2016,,
IRN,2019,,
IRQ,2013,,
IRQ,2016,0.49399625593904967,0.5651957341437407
IRQ,2017,0.4924874724084428,0.5617459598746606
ISL,2021,0.47121276509843446,0.5255170271964785
ISR,2018,,
ITA,2017,,
JAM,2010,,
JAM,2012,,
JAM,2016,,
JOR,2010,,
JOR,2015,,
JPN,2010,,
JPN,2013,,
JPN,2016,,
JPN,2017,,
JPN,2018,,
JPN,2019,,
JPN,2021,,
JPN,2022,,
KAZ,2011,,
KAZ,2013,,
KAZ,2015,,
KAZ,2018,,
KAZ,2023,0.4969812290576124,0.5704325256374294
KEN,2012,,
KEN,2014,0.5192866893329326,0.5379891892337944
KEN,2019,0.41885438922214535,0.4708441429945336
KGZ,2017,,
KGZ,2023,,
KHM,2012,,
KOR,2013,,
KOR,2014,,
KOR,2020,,
KWT,2014,,
LAO,2019,,
LBN,2011,,
LBN,2012,,
LBN,2022,0.5342233111582259,0.5555568323568925
LBR,2012,,
LBR,2013,,
LBR,2014,,
LBY,2010,,
LBY,2016,0.0,0.3484496705439261
LBY,2021,0.0,0.3685938288689852
LCA,2023,,
LKA,2010,,
LKA,2014,,
LKA,2016,0.4941684686180094,0.5675439075114814
LKA,2017,0.5051202116024236,0.5823635694892384
LKA,2018,0.46602794114808244,0.554727376192405
LKA,2020,0.6941067453320804,0.7223067860785781
LKA,2021,0.51143667767653,0.6011769466816195
LSO,2012,,
LSO,2023,,
LTU,2012,,
LTU,2014,0.0,0.4617869762406663
LVA,2015,,
MAR,2010,,
MAR,2013,0.569613367198849,0.6026714059297692
MAR,2022,0.5134392012010286,0.5930035734460981
MCO,2021,,
MDA,2012,,
MDA,2022,0.46088278372591135,0.5111633964157374
MDG,2018,0.3060385883266759,0.35912070345533675
MDG,2020,0.3813769976637501,0.4327998696736766
MDV,2010,,
MDV,2012,,
MDV,2016,0.4285310867864601,0.43040245642064423
MDV,2017,0.3671690540405138,0.3883149550741689
MDV,2018,0.3783230078495253,0.38944060371631845
MDV,2019,0.42168660366576016,0.42613021639755544
MDV,2022,0.3504120084616848,0.37076222358884164
MEX,2011,,
MEX,2015,,
MEX,2016,,
MEX,2019,0.5472362981604865,0.5873440227232347
MLI,2020,,
MLI,2021,0.36891148344463937,0.408363468596675
MLT,2015,,
MLT,2017,,
MLT,2023,0.5404041797126605,0.5770681627330101
MMR,2010,,
MMR,2011,,
MMR,2014,,
MMR,2019,,
MNE,2015,,
MNG,2010,,
MNG,2019,0.47474200129611405,0.5352506404149802
MNG,2020,0.5980567607834284,0.6112535671048064
MNG,2021,0.6550658256275843,0.6683128188174745
MNG,2022,0.4601583321556164,0.5131602612339017
MOZ,2010,,
MOZ,2017,,
MRT,2012,,
MRT,2018,0.3736613372109748,0.5004355202125036
MUS,2017,,
MUS,2023,0.4721734463253155,0.5222683381802344
MWI,2017,,
MWI,2023,0.4696474012140877,0.5247908121900958
MYS,2012,0.48004493926957864,0.5447210815398575
MYS,2016,0.5323934266185377,0.5707439652123748
MYS,2021,0.4935185193730239,0.5524366838480697
MYS,2022,0.5483277315717908,0.5797984645144932
NAM,2013,,
NAM,2021,0.40925673514395633,0.45137568347899654
NER,2019,0.3224045635581134,0.3434245696697846
NGA,2011,,
NGA,2018,0.4610525403279715,0.5177338002766503
NGA,2022,0.545547026228032,0.5639841292130986
NIC,2012,,
NIC,2020,,
NLD,2012,,
NLD,2016,,
NLD,2019,,
NOR,2010,,
NOR,2017,,
NOR,2020,0.6861543288583377,0.7186579583943532
NPL,2010,,
NPL,2013,,
NPL,2014,,
NPL,2015,,
NPL,2020,,
NZL,2014,,
NZL,2015,,
NZL,2018,,
NZL,2023,0.6355897761874014,0.662422267387293
OMN,2012,,
OMN,2013,,
OMN,2015,0.49008572675860074,0.5587326211427547
OMN,2016,0.543297480837068,0.5847610930479721
OMN,2020,0.5583163118257112,0.5804426472706152
OMN,2021,0.5011713055558984,0.5694971425767218
PAK,2013,,
PAK,2015,,
PAK,2018,0.4183876218930108,0.4595798074111919
PAN,2012,,
PAN,2016,0.521167960180038,0.5518931371258559
PAN,2021,0.4280447372246067,0.48862513798337415
PER,2013,,
PER,2015,,
PER,2021,0.430292462731423,0.47450456117613554
PHL,2011,,
PHL,2012,,
PHL,2015,,
PHL,2017,,
PHL,2018,,
PHL,2021,,
PHL,2023,0.45953800948716367,0.5199276064363472
PNG,2011,,
PNG,2015,,
POL,2022,,
POL,2023,,
PRK,2011,,
PRK,2013,,
PRK,2017,0.0,0.33374384236453203
PRK,2023,0.0,0.30338669950738917
PRT,2021,0.47600270619121415,0.5333713115410952
PRY,2011,,
PRY,2012,,
PRY,2019,0.5077872106226973,0.51633070910329
PRY,2021,0.5465962415661376,0.5531690056724531
QAT,2011,,
QAT,2017,,
QAT,2021,,
QAT,2023,,
ROU,2018,,
ROU,2019,,
RUS,2010,,
RUS,2011,,
RUS,2012,,
RUS,2013,,
RUS,2014,,
RUS,2015,,
RUS,2016,,
